"If you use any of the data presented in this website, we ask you to please reference the author in the following suggested format: ",,,,,
"Liljedahl, A. (year of retrieval). Climate data from the Goldstream Creek Watershed study of Methane Release from Thermokarst Lakes. University of Alaska Fairbanks, Water and Environmental Research Center. ",,,,,
"URL: http://ine.uaf.edu/werc/werc-projects/goldstream/ Fairbanks, Alaska, variously paged. [month and day of retrieval].",,,,,
"see readme-20200623.txt file for metadata, during periods of low flow and very high flow, river discharge may be inaccurate due to errors in rating curve.  Beaver activity resulted in high water levels at times, discharge may be unavailable or estimated.",,,,,
,,,,,
GSS2 Goldstream Creek at Ballaine Road  2015-2018 Last Updated EKY  15Jan2019,,,,,
Hydrological Data,,,,,
Lat:64.91137,,,,,
Long:-147.832,,,,,
Elev:186 m,,,,,
,,,,,
Col.  Data Type  Units,,,,,
1. Date Time (Alaska Standard Time),,,,,
2. Water Level Elevation (m above arbitrary datum),,,,,
3. Water Level Flag,,,,,
4. Discharge (m3/s),,,,,
5. Discharge Flag,,,,,
6. Pressure Transducer Water Temperature (deg C),,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
7/10/2016 19:59,98.60802833,,1.524395705,Rating Curve,7777
7/10/2016 20:14,98.60802833,,1.524395705,Rating Curve,7777
7/10/2016 20:29,98.60919833,,1.528001934,Rating Curve,7777
7/10/2016 20:44,98.60744833,,1.522609125,Rating Curve,7777
7/10/2016 20:59,98.60594833,,1.517992119,Rating Curve,7777
7/10/2016 21:14,98.61094833,,1.533401523,Rating Curve,7777
7/10/2016 21:29,98.61035833,,1.531580333,Rating Curve,7777
7/10/2016 21:44,98.60710833,,1.521562167,Rating Curve,7777
7/10/2016 21:59,98.61235833,,1.537756976,Rating Curve,7777
7/10/2016 22:14,98.60919833,,1.528001934,Rating Curve,7777
7/10/2016 22:29,98.60860833,,1.526183029,Rating Curve,7777
7/10/2016 22:44,98.60885833,,1.526953658,Rating Curve,7777
7/10/2016 22:59,98.60569833,,1.517223103,Rating Curve,7777
7/10/2016 23:14,98.60594833,,1.517992119,Rating Curve,7777
7/10/2016 23:29,98.60535833,,1.516177464,Rating Curve,7777
7/10/2016 23:44,98.60885833,,1.526953658,Rating Curve,7777
7/10/2016 23:59,98.60710833,,1.521562167,Rating Curve,7777
7/11/2016 0:14,98.60885833,,1.526953658,Rating Curve,7777
7/11/2016 0:29,98.61060833,,1.53235193,Rating Curve,7777
7/11/2016 0:44,98.60710833,,1.521562167,Rating Curve,7777
7/11/2016 0:59,98.60827833,,1.525166012,Rating Curve,7777
7/11/2016 1:14,98.60652833,,1.51977677,Rating Curve,7777
7/11/2016 1:29,98.60652833,,1.51977677,Rating Curve,7777
7/11/2016 1:44,98.60502833,,1.515162824,Rating Curve,7777
7/11/2016 1:59,98.60477833,,1.514394319,Rating Curve,7777
7/11/2016 2:14,98.60677833,,1.520546246,Rating Curve,7777
7/11/2016 2:29,98.60652833,,1.51977677,Rating Curve,7777
7/11/2016 2:44,98.60502833,,1.515162824,Rating Curve,7777
7/11/2016 2:59,98.60652833,,1.51977677,Rating Curve,7777
7/11/2016 3:14,98.60327833,,1.509786199,Rating Curve,7777
7/11/2016 3:29,98.60677833,,1.520546246,Rating Curve,7777
7/11/2016 3:44,98.60944833,,1.528772889,Rating Curve,7777
7/11/2016 3:59,98.60302833,,1.509018665,Rating Curve,7777
7/11/2016 4:14,98.60302833,,1.509018665,Rating Curve,7777
7/11/2016 4:29,98.60419833,,1.51261192,Rating Curve,7777
7/11/2016 4:44,98.60127833,,1.503649816,Rating Curve,7777
7/11/2016 4:59,98.60244833,,1.507238521,Rating Curve,7777
7/11/2016 5:14,98.60419833,,1.51261192,Rating Curve,7777
7/11/2016 5:29,98.60094833,,1.502638167,Rating Curve,7777
7/11/2016 5:44,98.60302833,,1.509018665,Rating Curve,7777
7/11/2016 5:59,98.60302833,,1.509018665,Rating Curve,7777
7/11/2016 6:14,98.60069833,,1.501871928,Rating Curve,7777
7/11/2016 6:29,98.60069833,,1.501871928,Rating Curve,7777
7/11/2016 6:44,98.59952833,,1.498287778,Rating Curve,7777
7/11/2016 6:59,98.60244833,,1.507238521,Rating Curve,7777
7/11/2016 7:14,98.59744833,,1.491923483,Rating Curve,7777
7/11/2016 7:29,98.59719833,,1.491159192,Rating Curve,7777
7/11/2016 7:44,98.59744833,,1.491923483,Rating Curve,7777
7/11/2016 7:59,98.59544833,,1.485813062,Rating Curve,7777
7/11/2016 8:14,98.59919833,,1.497277415,Rating Curve,7777
7/11/2016 8:29,98.59544833,,1.485813062,Rating Curve,7777
7/11/2016 8:44,98.59569833,,1.486576377,Rating Curve,7777
7/11/2016 8:59,98.59510833,,1.484775179,Rating Curve,7777
7/11/2016 9:14,98.59569833,,1.486576377,Rating Curve,7777
7/11/2016 9:29,98.59660833,,1.489356019,Rating Curve,7777
7/11/2016 9:44,98.59510833,,1.484775179,Rating Curve,7777
7/11/2016 9:59,98.59219833,,1.475902675,Rating Curve,7777
7/11/2016 10:14,98.59160833,,1.47410609,Rating Curve,7777
7/11/2016 10:29,98.59160833,,1.47410609,Rating Curve,7777
7/11/2016 10:44,98.59485833,,1.484012193,Rating Curve,7777
7/11/2016 10:59,98.59485833,,1.484012193,Rating Curve,7777
7/11/2016 11:14,98.59285833,,1.477913336,Rating Curve,7777
7/11/2016 11:29,98.59160833,,1.47410609,Rating Curve,7777
7/11/2016 11:44,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 11:59,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 12:14,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 12:29,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 12:44,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 12:59,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 13:14,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 13:29,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 13:44,98.58585833,,1.456637817,Rating Curve,7777
7/11/2016 13:59,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 14:14,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 14:29,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 14:44,98.59085833,,1.47182342,Rating Curve,7777
7/11/2016 14:59,98.59260833,,1.477151607,Rating Curve,7777
7/11/2016 15:14,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 15:29,98.58644833,,1.458426801,Rating Curve,7777
7/11/2016 15:44,98.59144833,,1.473619015,Rating Curve,7777
7/11/2016 15:59,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 16:14,98.58994833,,1.469055471,Rating Curve,7777
7/11/2016 16:29,98.59169833,,1.474380095,Rating Curve,7777
7/11/2016 16:44,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 16:59,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 17:14,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 17:29,98.58619833,,1.457668662,Rating Curve,7777
7/11/2016 17:44,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 17:59,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 18:14,98.58735833,,1.461187613,Rating Curve,7777
7/11/2016 18:29,98.58385833,,1.450579279,Rating Curve,7777
7/11/2016 18:44,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 18:59,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 19:14,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 19:29,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 19:44,98.58619833,,1.457668662,Rating Curve,7777
7/11/2016 19:59,98.58735833,,1.461187613,Rating Curve,7777
7/11/2016 20:14,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 20:29,98.58994833,,1.469055471,Rating Curve,7777
7/11/2016 20:44,98.58935833,,1.467261857,Rating Curve,7777
7/11/2016 20:59,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 21:14,98.58794833,,1.462978583,Rating Curve,7777
7/11/2016 21:29,98.58644833,,1.458426801,Rating Curve,7777
7/11/2016 21:44,98.58794833,,1.462978583,Rating Curve,7777
7/11/2016 21:59,98.58585833,,1.456637817,Rating Curve,7777
7/11/2016 22:14,98.58760833,,1.461946403,Rating Curve,7777
7/11/2016 22:29,98.58785833,,1.462705334,Rating Curve,7777
7/11/2016 22:44,98.59110833,,1.47258417,Rating Curve,7777
7/11/2016 22:59,98.58960833,,1.468021768,Rating Curve,7777
7/11/2016 23:14,98.59135833,,1.47334506,Rating Curve,7777
7/11/2016 23:29,98.58785833,,1.462705334,Rating Curve,7777
7/11/2016 23:44,98.58810833,,1.463464404,Rating Curve,7777
7/11/2016 23:59,98.58485833,,1.453607425,Rating Curve,7777
7/12/2016 0:14,98.58810833,,1.463464404,Rating Curve,7777
7/12/2016 0:29,98.58485833,,1.453607425,Rating Curve,7777
7/12/2016 0:44,98.58660833,,1.458912084,Rating Curve,7777
7/12/2016 0:59,98.58485833,,1.453607425,Rating Curve,7777
7/12/2016 1:14,98.58635833,,1.458153855,Rating Curve,7777
7/12/2016 1:29,98.58660833,,1.458912084,Rating Curve,7777
7/12/2016 1:44,98.58135833,,1.443018749,Rating Curve,7777
7/12/2016 1:59,98.58310833,,1.448309644,Rating Curve,7777
7/12/2016 2:14,98.58310833,,1.448309644,Rating Curve,7777
7/12/2016 2:29,98.57985833,,1.438489182,Rating Curve,7777
7/12/2016 2:44,98.58285833,,1.44755338,Rating Curve,7777
7/12/2016 2:59,98.57960833,,1.437734746,Rating Curve,7777
7/12/2016 3:14,98.57960833,,1.437734746,Rating Curve,7777
7/12/2016 3:29,98.58044833,,1.440270207,Rating Curve,7777
7/12/2016 3:44,98.58135833,,1.443018749,Rating Curve,7777
7/12/2016 3:59,98.58252833,,1.446555327,Rating Curve,7777
7/12/2016 4:14,98.58135833,,1.443018749,Rating Curve,7777
7/12/2016 4:29,98.57927833,,1.436739108,Rating Curve,7777
7/12/2016 4:44,98.57610833,,1.427187449,Rating Curve,7777
7/12/2016 4:59,98.57785833,,1.432457644,Rating Curve,7777
7/12/2016 5:14,98.57960833,,1.437734746,Rating Curve,7777
7/12/2016 5:29,98.57435833,,1.42192417,Rating Curve,7777
7/12/2016 5:44,98.57285833,,1.417418296,Rating Curve,7777
7/12/2016 5:59,98.57260833,,1.416667812,Rating Curve,7777
7/12/2016 6:14,98.57377833,,1.420181295,Rating Curve,7777
7/12/2016 6:29,98.57410833,,1.421172837,Rating Curve,7777
7/12/2016 6:44,98.57035833,,1.409919821,Rating Curve,7777
7/12/2016 6:59,98.57060833,,1.410669032,Rating Curve,7777
7/12/2016 7:14,98.56710833,,1.400192978,Rating Curve,7777
7/12/2016 7:29,98.57035833,,1.409919821,Rating Curve,7777
7/12/2016 7:44,98.56744833,,1.401209433,Rating Curve,7777
7/12/2016 7:59,98.57035833,,1.409919821,Rating Curve,7777
7/12/2016 8:14,98.56894833,,1.405696926,Rating Curve,7777
7/12/2016 8:29,98.56719833,,1.400462014,Rating Curve,7777
7/12/2016 8:44,98.56660833,,1.398698668,Rating Curve,7777
7/12/2016 8:59,98.56694833,,1.399714737,Rating Curve,7777
7/12/2016 9:14,98.56344833,,1.389267769,Rating Curve,7777
7/12/2016 9:29,98.56694833,,1.399714737,Rating Curve,7777
7/12/2016 9:44,98.56344833,,1.389267769,Rating Curve,7777
7/12/2016 9:59,98.56694833,,1.399714737,Rating Curve,7777
7/12/2016 10:14,98.56344833,,1.389267769,Rating Curve,7777
7/12/2016 10:29,98.56519833,,1.394487772,Rating Curve,7777
7/12/2016 10:44,98.56694833,,1.399714737,Rating Curve,7777
7/12/2016 10:59,98.56694833,,1.399714737,Rating Curve,7777
7/12/2016 11:14,98.56344833,,1.389267769,Rating Curve,7777
7/12/2016 11:29,98.56519833,,1.394487772,Rating Curve,7777
7/12/2016 11:44,98.56344833,,1.389267769,Rating Curve,7777
7/12/2016 11:59,98.56519833,,1.394487772,Rating Curve,7777
7/12/2016 12:14,98.56344833,,1.389267769,Rating Curve,7777
7/12/2016 12:29,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 12:44,98.56519833,,1.394487772,Rating Curve,7777
7/12/2016 12:59,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 13:14,98.56519833,,1.394487772,Rating Curve,7777
7/12/2016 13:29,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 13:44,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 13:59,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 14:14,98.55994833,,1.378848675,Rating Curve,7777
7/12/2016 14:29,98.56227833,,1.38578171,Rating Curve,7777
7/12/2016 14:44,98.56285833,,1.387509452,Rating Curve,7777
7/12/2016 14:59,98.56752833,,1.401448637,Rating Curve,7777
7/12/2016 15:14,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 15:29,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 15:44,98.56577833,,1.396219367,Rating Curve,7777
7/12/2016 15:59,98.56110833,,1.382298769,Rating Curve,7777
7/12/2016 16:14,98.56402833,,1.390997055,Rating Curve,7777
7/12/2016 16:29,98.56285833,,1.387509452,Rating Curve,7777
7/12/2016 16:44,98.55935833,,1.377095064,Rating Curve,7777
7/12/2016 16:59,98.56110833,,1.382298769,Rating Curve,7777
7/12/2016 17:14,98.56227833,,1.38578171,Rating Curve,7777
7/12/2016 17:29,98.56085833,,1.381554955,Rating Curve,7777
7/12/2016 17:44,98.56460833,,1.392727107,Rating Curve,7777
7/12/2016 17:59,98.56577833,,1.396219367,Rating Curve,7777
7/12/2016 18:14,98.56752833,,1.401448637,Rating Curve,7777
7/12/2016 18:29,98.56460833,,1.392727107,Rating Curve,7777
7/12/2016 18:44,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 18:59,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 19:14,98.56810833,,1.403183301,Rating Curve,7777
7/12/2016 19:29,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 19:44,98.56810833,,1.403183301,Rating Curve,7777
7/12/2016 19:59,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 20:14,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 20:29,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 20:44,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 20:59,98.56460833,,1.392727107,Rating Curve,7777
7/12/2016 21:14,98.56460833,,1.392727107,Rating Curve,7777
7/12/2016 21:29,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 21:44,98.56810833,,1.403183301,Rating Curve,7777
7/12/2016 21:59,98.56635833,,1.397951726,Rating Curve,7777
7/12/2016 22:14,98.56810833,,1.403183301,Rating Curve,7777
7/12/2016 22:29,98.56835833,,1.403931236,Rating Curve,7777
7/12/2016 22:44,98.56660833,,1.398698668,Rating Curve,7777
7/12/2016 22:59,98.56660833,,1.398698668,Rating Curve,7777
7/12/2016 23:14,98.56835833,,1.403931236,Rating Curve,7777
7/12/2016 23:29,98.56927833,,1.406684859,Rating Curve,7777
7/12/2016 23:44,98.56802833,,1.402943992,Rating Curve,7777
7/12/2016 23:59,98.56510833,,1.394219145,Rating Curve,7777
7/13/2016 0:14,98.56427833,,1.391742674,Rating Curve,7777
7/13/2016 0:29,98.56427833,,1.391742674,Rating Curve,7777
7/13/2016 0:44,98.56627833,,1.397712735,Rating Curve,7777
7/13/2016 0:59,98.56452833,,1.392488434,Rating Curve,7777
7/13/2016 1:14,98.56452833,,1.392488434,Rating Curve,7777
7/13/2016 1:29,98.56452833,,1.392488434,Rating Curve,7777
7/13/2016 1:44,98.56477833,,1.393234336,Rating Curve,7777
7/13/2016 1:59,98.56302833,,1.388016005,Rating Curve,7777
7/13/2016 2:14,98.55952833,,1.37760026,Rating Curve,7777
7/13/2016 2:29,98.56452833,,1.392488434,Rating Curve,7777
7/13/2016 2:44,98.56127833,,1.382804643,Rating Curve,7777
7/13/2016 2:59,98.56269833,,1.387032757,Rating Curve,7777
7/13/2016 3:14,98.56152833,,1.383548697,Rating Curve,7777
7/13/2016 3:29,98.56302833,,1.388016005,Rating Curve,7777
7/13/2016 3:44,98.56477833,,1.393234336,Rating Curve,7777
7/13/2016 3:59,98.56619833,,1.397473758,Rating Curve,7777
7/13/2016 4:14,98.56302833,,1.388016005,Rating Curve,7777
7/13/2016 4:29,98.56444833,,1.392249775,Rating Curve,7777
7/13/2016 4:44,98.56269833,,1.387032757,Rating Curve,7777
7/13/2016 4:59,98.56644833,,1.398220609,Rating Curve,7777
7/13/2016 5:14,98.56269833,,1.387032757,Rating Curve,7777
7/13/2016 5:29,98.56152833,,1.383548697,Rating Curve,7777
7/13/2016 5:44,98.56219833,,1.385543461,Rating Curve,7777
7/13/2016 5:59,98.55719833,,1.37068184,Rating Curve,7777
7/13/2016 6:14,98.55869833,,1.375134338,Rating Curve,7777
7/13/2016 6:29,98.55844833,,1.374391898,Rating Curve,7777
7/13/2016 6:44,98.55844833,,1.374391898,Rating Curve,7777
7/13/2016 6:59,98.56019833,,1.379591971,Rating Curve,7777
7/13/2016 7:14,98.55727833,,1.370919176,Rating Curve,7777
7/13/2016 7:29,98.55844833,,1.374391898,Rating Curve,7777
7/13/2016 7:44,98.55844833,,1.374391898,Rating Curve,7777
7/13/2016 7:59,98.55644833,,1.368457518,Rating Curve,7777
7/13/2016 8:14,98.55669833,,1.369198816,Rating Curve,7777
7/13/2016 8:29,98.55644833,,1.368457518,Rating Curve,7777
7/13/2016 8:44,98.55644833,,1.368457518,Rating Curve,7777
7/13/2016 8:59,98.55294833,,1.358094357,Rating Curve,7777
7/13/2016 9:14,98.55177833,,1.354636354,Rating Curve,7777
7/13/2016 9:29,98.55269833,,1.357355204,Rating Curve,7777
7/13/2016 9:44,98.54977833,,1.348732507,Rating Curve,7777
7/13/2016 9:59,98.54802833,,1.34357417,Rating Curve,7777
7/13/2016 10:14,98.54802833,,1.34357417,Rating Curve,7777
7/13/2016 10:29,98.55094833,,1.352185144,Rating Curve,7777
7/13/2016 10:44,98.55327833,,1.359070258,Rating Curve,7777
7/13/2016 10:59,98.54977833,,1.348732507,Rating Curve,7777
7/13/2016 11:14,98.54627833,,1.33842287,Rating Curve,7777
7/13/2016 11:29,98.54452833,,1.333278613,Rating Curve,7777
7/13/2016 11:44,98.54510833,,1.334982786,Rating Curve,7777
7/13/2016 11:59,98.54627833,,1.33842287,Rating Curve,7777
7/13/2016 12:14,98.54452833,,1.333278613,Rating Curve,7777
7/13/2016 12:29,98.54452833,,1.333278613,Rating Curve,7777
7/13/2016 12:44,98.54452833,,1.333278613,Rating Curve,7777
7/13/2016 12:59,98.54452833,,1.333278613,Rating Curve,7777
7/13/2016 13:14,98.54335833,,1.329843244,Rating Curve,7777
7/13/2016 13:29,98.53835833,,1.310386001,Rating Curve,7777
7/13/2016 13:44,98.53835833,,1.310386001,Rating Curve,7777
7/13/2016 13:59,98.53835833,,1.310386001,Rating Curve,7777
7/13/2016 14:14,98.54185833,,1.325443538,Rating Curve,7777
7/13/2016 14:29,98.53835833,,1.310386001,Rating Curve,7777
7/13/2016 14:44,98.53810833,,1.308926126,Rating Curve,7777
7/13/2016 14:59,98.54010833,,1.320317108,Rating Curve,7777
7/13/2016 15:14,98.53985833,,1.319168466,Rating Curve,7777
7/13/2016 15:29,98.53985833,,1.319168466,Rating Curve,7777
7/13/2016 15:44,98.54069833,,1.322044658,Rating Curve,7777
7/13/2016 15:59,98.54160833,,1.324710758,Rating Curve,7777
7/13/2016 16:14,98.53544833,,1.293461362,Rating Curve,7777
7/13/2016 16:29,98.53894833,,1.313835687,Rating Curve,7777
7/13/2016 16:44,98.53635833,,1.298737902,Rating Curve,7777
7/13/2016 16:59,98.53369833,,1.283355104,Rating Curve,7777
7/13/2016 17:14,98.53485833,,1.290048095,Rating Curve,7777
7/13/2016 17:29,98.53369833,,1.283355104,Rating Curve,7777
7/13/2016 17:44,98.53544833,,1.293461362,Rating Curve,7777
7/13/2016 17:59,98.53544833,,1.293461362,Rating Curve,7777
7/13/2016 18:14,98.53519833,,1.292014315,Rating Curve,7777
7/13/2016 18:29,98.53427833,,1.286698645,Rating Curve,7777
7/13/2016 18:44,98.53544833,,1.293461362,Rating Curve,7777
7/13/2016 18:59,98.53894833,,1.313835687,Rating Curve,7777
7/13/2016 19:14,98.53894833,,1.313835687,Rating Curve,7777
7/13/2016 19:29,98.53894833,,1.313835687,Rating Curve,7777
7/13/2016 19:44,98.54244833,,1.32717347,Rating Curve,7777
7/13/2016 19:59,98.54419833,,1.332309344,Rating Curve,7777
7/13/2016 20:14,98.54444833,,1.333043616,Rating Curve,7777
7/13/2016 20:29,98.54244833,,1.32717347,Rating Curve,7777
7/13/2016 20:44,98.53894833,,1.313835687,Rating Curve,7777
7/13/2016 20:59,98.53369833,,1.283355104,Rating Curve,7777
7/13/2016 21:14,98.53485833,,1.290048095,Rating Curve,7777
7/13/2016 21:29,98.53719833,,1.303621506,Rating Curve,7777
7/13/2016 21:44,98.53544833,,1.293461362,Rating Curve,7777
7/13/2016 21:59,98.53719833,,1.303621506,Rating Curve,7777
7/13/2016 22:14,98.54069833,,1.322044658,Rating Curve,7777
7/13/2016 22:29,98.53894833,,1.313835687,Rating Curve,7777
7/13/2016 22:44,98.54069833,,1.322044658,Rating Curve,7777
7/13/2016 22:59,98.54094833,,1.322776913,Rating Curve,7777
7/13/2016 23:14,98.54385833,,1.331310964,Rating Curve,7777
7/13/2016 23:29,98.54269833,,1.327906734,Rating Curve,7777
7/13/2016 23:44,98.53944833,,1.31676397,Rating Curve,7777
7/13/2016 23:59,98.53919833,,1.315299275,Rating Curve,7777
7/14/2016 0:14,98.54035833,,1.321049023,Rating Curve,7777
7/14/2016 0:29,98.53885833,,1.313309065,Rating Curve,7777
7/14/2016 0:44,98.53769833,,1.306534322,Rating Curve,7777
7/14/2016 0:59,98.54060833,,1.321781081,Rating Curve,7777
7/14/2016 1:14,98.53735833,,1.304553127,Rating Curve,7777
7/14/2016 1:29,98.53735833,,1.304553127,Rating Curve,7777
7/14/2016 1:44,98.53710833,,1.303097667,Rating Curve,7777
7/14/2016 1:59,98.53560833,,1.294388049,Rating Curve,7777
7/14/2016 2:14,98.53410833,,1.28571803,Rating Curve,7777
7/14/2016 2:29,98.53585833,,1.295836899,Rating Curve,7777
7/14/2016 2:44,98.53385833,,1.28427687,Rating Curve,7777
7/14/2016 2:59,98.53619833,,1.297809102,Rating Curve,7777
7/14/2016 3:14,98.53560833,,1.294388049,Rating Curve,7777
7/14/2016 3:29,98.53060833,,1.265641453,Rating Curve,7777
7/14/2016 3:44,98.53235833,,1.275652932,Rating Curve,7777
7/14/2016 3:59,98.53385833,,1.28427687,Rating Curve,7777
7/14/2016 4:14,98.53735833,,1.304553127,Rating Curve,7777
7/14/2016 4:29,98.53352833,,1.282376219,Rating Curve,7777
7/14/2016 4:44,98.53377833,,1.283815931,Rating Curve,7777
7/14/2016 4:59,98.53177833,,1.272328908,Rating Curve,7777
7/14/2016 5:14,98.52827833,,1.252394845,Rating Curve,7777
7/14/2016 5:29,98.52685833,,1.244368138,Rating Curve,7777
7/14/2016 5:44,98.53002833,,1.262335167,Rating Curve,7777
7/14/2016 5:59,98.52827833,,1.252394845,Rating Curve,7777
7/14/2016 6:14,98.52777833,,1.249564543,Rating Curve,7777
7/14/2016 6:29,98.52402833,,1.228475532,Rating Curve,7777
7/14/2016 6:44,98.52577833,,1.238286751,Rating Curve,7777
7/14/2016 6:59,98.52602833,,1.239692681,Rating Curve,7777
7/14/2016 7:14,98.52285833,,1.221945548,Rating Curve,7777
7/14/2016 7:29,98.52402833,,1.228475532,Rating Curve,7777
7/14/2016 7:44,98.52460833,,1.231721382,Rating Curve,7777
7/14/2016 7:59,98.52552833,,1.236881903,Rating Curve,7777
7/14/2016 8:14,98.52519833,,1.235029162,Rating Curve,7777
7/14/2016 8:29,98.52027833,,1.207629438,Rating Curve,7777
7/14/2016 8:44,98.52202833,,1.21732748,Rating Curve,7777
7/14/2016 8:59,98.51852833,,1.197983975,Rating Curve,7777
7/14/2016 9:14,98.52002833,,1.206248299,Rating Curve,7777
7/14/2016 9:29,98.52202833,,1.21732748,Rating Curve,7777
7/14/2016 9:44,98.52002833,,1.206248299,Rating Curve,7777
7/14/2016 9:59,98.52002833,,1.206248299,Rating Curve,7777
7/14/2016 10:14,98.52027833,,1.207629438,Rating Curve,7777
7/14/2016 10:29,98.52177833,,1.21593882,Rating Curve,7777
7/14/2016 10:44,98.52002833,,1.206248299,Rating Curve,7777
7/14/2016 10:59,98.51852833,,1.197983975,Rating Curve,7777
7/14/2016 11:14,98.52002833,,1.206248299,Rating Curve,7777
7/14/2016 11:29,98.51652833,,1.187024779,Rating Curve,7777
7/14/2016 11:44,98.51652833,,1.187024779,Rating Curve,7777
7/14/2016 11:59,98.51652833,,1.187024779,Rating Curve,7777
7/14/2016 12:14,98.52002833,,1.206248299,Rating Curve,7777
7/14/2016 12:29,98.51535833,,1.180645306,Rating Curve,7777
7/14/2016 12:44,98.51535833,,1.180645306,Rating Curve,7777
7/14/2016 12:59,98.51185833,,1.161700419,Rating Curve,7777
7/14/2016 13:14,98.51477833,,1.177491479,Rating Curve,7777
7/14/2016 13:29,98.51335833,,1.169794188,Rating Curve,7777
7/14/2016 13:44,98.51652833,,1.187024779,Rating Curve,7777
7/14/2016 13:59,98.51335833,,1.169794188,Rating Curve,7777
7/14/2016 14:14,98.51535833,,1.180645306,Rating Curve,7777
7/14/2016 14:29,98.51335833,,1.169794188,Rating Curve,7777
7/14/2016 14:44,98.51769833,,1.193427609,Rating Curve,7777
7/14/2016 14:59,98.52119833,,1.212721273,Rating Curve,7777
7/14/2016 15:14,98.52410833,,1.22892289,Rating Curve,7777
7/14/2016 15:29,98.52435833,,1.230321596,Rating Curve,7777
7/14/2016 15:44,98.52144833,,1.214107437,Rating Curve,7777
7/14/2016 15:59,98.52294833,,1.222447016,Rating Curve,7777
7/14/2016 16:14,98.52260833,,1.220553315,Rating Curve,7777
7/14/2016 16:29,98.52119833,,1.212721273,Rating Curve,7777
7/14/2016 16:44,98.51944833,,1.203048187,Rating Curve,7777
7/14/2016 16:59,98.51794833,,1.194798768,Rating Curve,7777
7/14/2016 17:14,98.51769833,,1.193427609,Rating Curve,7777
7/14/2016 17:29,98.51910833,,1.201174941,Rating Curve,7777
7/14/2016 17:44,98.51769833,,1.193427609,Rating Curve,7777
7/14/2016 17:59,98.51944833,,1.203048187,Rating Curve,7777
7/14/2016 18:14,98.51769833,,1.193427609,Rating Curve,7777
7/14/2016 18:29,98.51419833,,1.174343375,Rating Curve,7777
7/14/2016 18:44,98.51710833,,1.190195909,Rating Curve,7777
7/14/2016 18:59,98.51619833,,1.185223077,Rating Curve,7777
7/14/2016 19:14,98.51594833,,1.183859389,Rating Curve,7777
7/14/2016 19:29,98.51477833,,1.177491479,Rating Curve,7777
7/14/2016 19:44,98.51677833,,1.188390941,Rating Curve,7777
7/14/2016 19:59,98.51444833,,1.175699615,Rating Curve,7777
7/14/2016 20:14,98.51852833,,1.197983975,Rating Curve,7777
7/14/2016 20:29,98.51969833,,1.204426838,Rating Curve,7777
7/14/2016 20:44,98.52144833,,1.214107437,Rating Curve,7777
7/14/2016 20:59,98.51969833,,1.204426838,Rating Curve,7777
7/14/2016 21:14,98.52144833,,1.214107437,Rating Curve,7777
7/14/2016 21:29,98.52144833,,1.214107437,Rating Curve,7777
7/14/2016 21:44,98.51969833,,1.204426838,Rating Curve,7777
7/14/2016 21:59,98.52144833,,1.214107437,Rating Curve,7777
7/14/2016 22:14,98.52319833,,1.223840716,Rating Curve,7777
