"If you use any of the data presented in this website, we ask you to please reference the author in the following suggested format: ",,,,,,,,,,,,,,,,,
"Liljedahl, A. (year of retrieval). Climate data from the Goldstream Creek Watershed study of Methane Release from Thermokarst Lakes. University of Alaska Fairbanks, Water and Environmental Research Center. ",,,,,,,,,,,,,,,,,
"URL: http://ine.uaf.edu/werc/werc-projects/goldstream/ Fairbanks, Alaska, variously paged. [month and day of retrieval].",,,,,,,,,,,,,,,,,
see readme-20200623.txt file for metadata,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
GSM1 Doughnut Lake Met  2015-2019 Last Updated EKY  15Jan2019,,,,,,,,,,,,,,,,,
Meteorological Data,,,,,,,,,,,,,,,,,
Lat:64.889,,,,,,,,,,,,,,,,,
Long:-147.908,,,,,,,,,,,,,,,,,
Elev:175 m,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Col.  Data Type  Units,,,,,,,,,,,,,,,,,
1. Date Time (Alaska Standard Time),,,,,,,,,,,,,,,,,
2. 2 m Air Temperature (deg C),,,,,,,,,,,,,,,,,
3. 2 m Relative Humidity (%),,,,,,,,,,,,,,,,,
4. 3 m Wind Speed  (m/s),,,,,,,,,,,,,,,,,
5. 3 m Wind Direction  (degrees),,,,,,,,,,,,,,,,,
6. 3 m Wind Speed Maximum  (degrees),,,,,,,,,,,,,,,,,
7. Station Pressure (mbar),,,,,,,,,,,,,,,,,
8. Rainfall  (mm),,,,,,,,,,,,,,,,,
9. Net Radiation (W/m2),,,,,,,,,,,,,,,,,
10. Snow Depth (cm),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
4/14/2018 17:00,2.078,36.08,7777,7777,7777,1000,7777,7777,6999,,,,,,,,
4/14/2018 18:00,0.839,38.21,7777,7777,7777,1000,7777,7777,6999,,,,,,,,
4/14/2018 19:00,-1.01,39.11,7777,7777,7777,1001,7777,7777,6999,,,,,,,,
4/14/2018 20:00,-2.366,44.52,7777,7777,7777,1002,7777,7777,6999,,,,,,,,
4/14/2018 21:00,-3.78,46.99,7777,7777,7777,1003,7777,7777,6999,,,,,,,,
4/14/2018 22:00,-4.886,45.57,7777,7777,7777,1003,7777,7777,6999,,,,,,,,
4/14/2018 23:00,-6.01,51.25,7777,7777,7777,1004,7777,7777,6999,,,,,,,,
4/15/2018 0:00,-7.35,46.62,7777,7777,7777,1005,7777,7777,6999,,,,,,,,
4/15/2018 1:00,-7.713,52.02,7777,7777,7777,1005,7777,7777,6999,,,,,,,,
4/15/2018 2:00,-9.13,51.35,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 3:00,-10.56,55.46,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 4:00,-11.57,58.96,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 5:00,-12.73,63.69,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 6:00,-13.84,64.39,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 7:00,-12.3,51.45,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 8:00,-9.08,35.57,7777,7777,7777,1006,7777,7777,6999,,,,,,,,
4/15/2018 9:00,-5.009,31.24,7777,7777,7777,1005,7777,7777,6999,,,,,,,,
4/15/2018 10:00,-2.493,27.87,7777,7777,7777,1004,7777,7777,6999,,,,,,,,
4/15/2018 11:00,0.138,24.64,7777,7777,7777,1004,7777,7777,6999,,,,,,,,
4/15/2018 12:00,1.912,24.35,7777,7777,7777,1004,7777,7777,6999,,,,,,,,
4/15/2018 13:00,3.658,17.1,7777,7777,7777,1003,7777,7777,6999,,,,,,,,
4/15/2018 14:00,4.463,16.35,7777,7777,7777,1003,7777,7777,6999,,,,,,,,
4/15/2018 15:00,4.846,16.22,7777,7777,7777,1002,7777,7777,6999,,,,,,,,
4/15/2018 16:00,5.189,24.34,7777,7777,7777,1001,7777,7777,6999,,,,,,,,
4/15/2018 17:00,4.651,27.95,7777,7777,7777,1001,7777,7777,6999,,,,,,,,
4/15/2018 18:00,3.662,29.39,7777,7777,7777,1000,7777,7777,6999,,,,,,,,
4/15/2018 19:00,2.174,36.84,7777,7777,7777,999,7777,7777,6999,,,,,,,,
4/15/2018 20:00,0.314,43.07,7777,7777,7777,998,7777,7777,6999,,,,,,,,
4/15/2018 21:00,-1.862,47.59,7777,7777,7777,998,7777,7777,6999,,,,,,,,
4/15/2018 22:00,-3.248,51.09,7777,7777,7777,998,7777,7777,6999,,,,,,,,
4/15/2018 23:00,-4.304,45.23,7777,7777,7777,998,7777,7777,6999,,,,,,,,
4/16/2018 0:00,-5.208,40.45,7777,7777,7777,998,7777,7777,6999,,,,,,,,
4/16/2018 1:00,-6.199,41.15,7777,7777,7777,997,7777,7777,6999,,,,,,,,
4/16/2018 2:00,-8.24,53.52,7777,7777,7777,997,7777,7777,6999,,,,,,,,
4/16/2018 3:00,-10.71,55.66,7777,7777,7777,996,7777,7777,6999,,,,,,,,
4/16/2018 4:00,-12.2,64.84,7777,7777,7777,996,7777,7777,6999,,,,,,,,
4/16/2018 5:00,-13.51,69.38,7777,7777,7777,995,7777,7777,6999,,,,,,,,
4/16/2018 6:00,-14.05,70.06,7777,7777,7777,995,7777,7777,6999,,,,,,,,
4/16/2018 7:00,-12.88,55.01,7777,7777,7777,994,7777,7777,6999,,,,,,,,
4/16/2018 8:00,-7.988,35.77,7777,7777,7777,993,7777,7777,6999,,,,,,,,
4/16/2018 9:00,-2.538,23.03,7777,7777,7777,992,7777,7777,6999,,,,,,,,
4/16/2018 10:00,1.661,14.88,7777,7777,7777,992,7777,7777,6999,,,,,,,,
4/16/2018 11:00,4.479,13.51,7777,7777,7777,992,7777,7777,6999,,,,,,,,
4/16/2018 12:00,6.646,15.54,7777,7777,7777,991,7777,7777,6999,,,,,,,,
4/16/2018 13:00,7.868,10.15,7777,7777,7777,991,7777,7777,6999,,,,,,,,
4/16/2018 14:00,8.26,10.35,7777,7777,7777,990,7777,7777,6999,,,,,,,,
4/16/2018 15:00,8.93,11.44,7777,7777,7777,990,7777,7777,6999,,,,,,,,
4/16/2018 16:00,8.96,9.47,7777,7777,7777,989,7777,7777,6999,,,,,,,,
4/16/2018 17:00,8.95,13.29,7777,7777,7777,989,7777,7777,6999,,,,,,,,
4/16/2018 18:00,8.74,13.02,7777,7777,7777,988,7777,7777,6999,,,,,,,,
4/16/2018 19:00,7.05,29.11,7777,7777,7777,988,7777,7777,6999,,,,,,,,
4/16/2018 20:00,4.36,31.38,7777,7777,7777,988,7777,7777,33.85,,,,,,,,
4/16/2018 21:00,1.094,38.77,7777,7777,7777,988,7777,7777,33.82,,,,,,,,
4/16/2018 22:00,-2.062,52.71,7777,7777,7777,988,7777,7777,33.91,,,,,,,,
4/16/2018 23:00,-4.061,65.71,7777,7777,7777,988,7777,7777,33.85,,,,,,,,
4/17/2018 0:00,-5.916,72.16,7777,7777,7777,988,7777,7777,33.82,,,,,,,,
4/17/2018 1:00,-7.534,74.78,7777,7777,7777,989,7777,7777,33.85,,,,,,,,
4/17/2018 2:00,-8.94,78.35,7777,7777,7777,989,7777,7777,33.79,,,,,,,,
4/17/2018 3:00,-10.42,77.47,7777,7777,7777,989,7777,7777,33.81,,,,,,,,
4/17/2018 4:00,-11.2,75.51,7777,7777,7777,989,7777,7777,33.82,,,,,,,,
4/17/2018 5:00,-12.17,77.91,7777,7777,7777,989,7777,7777,33.85,,,,,,,,
4/17/2018 6:00,-12.44,78.26,7777,7777,7777,988,7777,7777,33.89,,,,,,,,
4/17/2018 7:00,-10.79,75.86,7777,7777,7777,988,7777,7777,33.96,,,,,,,,
4/17/2018 8:00,-5.875,42.73,7777,7777,7777,988,7777,7777,34.04,,,,,,,,
4/17/2018 9:00,0.157,28.42,7777,7777,7777,987,7777,7777,33.65,,,,,,,,
4/17/2018 10:00,3.444,21.57,7777,7777,7777,987,7777,7777,33.94,,,,,,,,
4/17/2018 11:00,5.576,15.76,7777,7777,7777,987,7777,7777,34.13,,,,,,,,
4/17/2018 12:00,7.591,12.81,7777,7777,7777,987,7777,7777,33.49,,,,,,,,
4/17/2018 13:00,8.7,14.37,7777,7777,7777,987,7777,7777,33.09,,,,,,,,
4/17/2018 14:00,9.26,12.46,7777,7777,7777,986,7777,7777,33.7,,,,,,,,
4/17/2018 15:00,9.54,18.52,7777,7777,7777,986,7777,7777,33.38,,,,,,,,
4/17/2018 16:00,8.66,19.83,7777,7777,7777,986,7777,7777,6999,,,,,,,,
4/17/2018 17:00,8.54,24.74,7777,7777,7777,986,7777,7777,6999,,,,,,,,
4/17/2018 18:00,7.092,26.93,7777,7777,7777,985,7777,7777,33.81,,,,,,,,
4/17/2018 19:00,5.576,32.39,7777,7777,7777,985,7777,7777,34.1,,,,,,,,
4/17/2018 20:00,3.654,35.89,7777,7777,7777,985,7777,7777,34.08,,,,,,,,
4/17/2018 21:00,1.5,41.16,7777,7777,7777,985,7777,7777,34.18,,,,,,,,
4/17/2018 22:00,-0.191,45.95,7777,7777,7777,985,7777,7777,34.24,,,,,,,,
4/17/2018 23:00,-1.115,34.89,7777,7777,7777,985,7777,7777,34.21,,,,,,,,
4/18/2018 0:00,-2.431,53.83,7777,7777,7777,986,7777,7777,34.12,,,,,,,,
4/18/2018 1:00,-3.64,47.47,7777,7777,7777,986,7777,7777,34.2,,,,,,,,
4/18/2018 2:00,-3.894,52.06,7777,7777,7777,986,7777,7777,34.18,,,,,,,,
4/18/2018 3:00,-5.027,54.6,7777,7777,7777,986,7777,7777,34.16,,,,,,,,
4/18/2018 4:00,-5.412,54.39,7777,7777,7777,986,7777,7777,34.14,,,,,,,,
4/18/2018 5:00,-5.884,54.61,7777,7777,7777,986,7777,7777,34.16,,,,,,,,
4/18/2018 6:00,-5.728,50.58,7777,7777,7777,986,7777,7777,34.03,,,,,,,,
4/18/2018 7:00,-5.04,43.25,7777,7777,7777,986,7777,7777,34.09,,,,,,,,
4/18/2018 8:00,-2.965,35.73,7777,7777,7777,985,7777,7777,33.88,,,,,,,,
4/18/2018 9:00,1.132,31.27,7777,7777,7777,985,7777,7777,33.72,,,,,,,,
4/18/2018 10:00,3.359,27.23,7777,7777,7777,985,7777,7777,33.9,,,,,,,,
4/18/2018 11:00,4.812,24.28,7777,7777,7777,985,7777,7777,34.09,,,,,,,,
4/18/2018 12:00,5.911,22.22,7777,7777,7777,985,7777,7777,33.44,,,,,,,,
4/18/2018 13:00,6.372,21.24,7777,7777,7777,984,7777,7777,33.37,,,,,,,,
4/18/2018 14:00,6.599,25.53,7777,7777,7777,984,7777,7777,33.25,,,,,,,,
4/18/2018 15:00,6.605,23.16,7777,7777,7777,984,7777,7777,33.16,,,,,,,,
4/18/2018 16:00,6.467,23.72,7777,7777,7777,983,7777,7777,31.84,,,,,,,,
