Date	Time (AST)	Discharge (cms)
05/03/15	23:17	2.43
05/03/15	23:32	2.29
05/03/15	23:47	2.22
05/04/15	0:02	2.10
05/04/15	0:17	2.01
05/04/15	0:32	1.96
05/04/15	0:47	1.91
05/04/15	1:02	2.01
05/04/15	1:17	2.01
05/04/15	1:32	1.98
05/04/15	1:47	1.87
05/04/15	2:02	1.87
05/04/15	2:17	1.89
05/04/15	2:32	1.87
05/04/15	2:47	1.87
05/04/15	3:02	1.98
05/04/15	3:17	1.98
05/04/15	3:32	1.98
05/04/15	3:47	2.03
05/04/15	4:02	2.03
05/04/15	4:17	2.01
05/04/15	4:32	2.01
05/04/15	4:47	2.08
05/04/15	5:02	2.10
05/04/15	5:17	2.01
05/04/15	5:32	2.12
05/04/15	5:47	2.10
05/04/15	6:02	2.05
05/04/15	6:17	2.01
05/04/15	6:32	2.05
05/04/15	6:47	1.96
05/04/15	7:02	2.01
05/04/15	7:17	1.98
05/04/15	7:32	1.98
05/04/15	7:47	2.10
05/04/15	8:02	2.05
05/04/15	8:17	2.10
05/04/15	8:32	2.10
05/04/15	8:47	2.12
05/04/15	9:02	2.15
05/04/15	9:17	2.05
05/04/15	9:32	2.15
05/04/15	9:47	2.24
05/04/15	10:02	2.17
05/04/15	10:17	2.22
05/04/15	10:32	2.22
05/04/15	10:47	2.24
05/04/15	11:02	2.36
05/04/15	11:17	2.31
05/04/15	11:32	2.33
05/04/15	11:47	2.45
05/04/15	12:02	2.47
05/04/15	12:17	2.45
05/04/15	12:32	2.45
05/04/15	12:47	2.64
05/04/15	13:02	2.61
05/04/15	13:17	2.71
05/04/15	13:32	2.80
05/04/15	13:47	2.75
05/04/15	14:02	2.80
05/04/15	14:17	2.85
05/04/15	14:32	3.13
05/04/15	14:47	3.06
05/04/15	15:02	3.10
05/04/15	15:17	3.08
05/04/15	15:32	3.13
05/04/15	15:47	3.15
05/04/15	16:02	3.17
05/04/15	16:17	3.17
05/04/15	16:32	3.31
05/04/15	16:47	3.29
05/04/15	17:02	3.36
05/04/15	17:17	3.52
05/04/15	17:32	3.61
05/04/15	17:47	3.54
05/04/15	18:02	3.71
05/04/15	18:17	3.85
05/04/15	18:32	3.71
05/04/15	18:47	3.61
05/04/15	19:02	3.73
05/04/15	19:17	3.75
05/04/15	19:32	3.73
05/04/15	19:47	3.68
05/04/15	20:02	3.71
05/04/15	20:17	3.71
05/04/15	20:32	3.80
05/04/15	20:47	3.68
05/04/15	21:02	3.71
