Date,Time_UTC,avgAT_C_1m,avgAT_C_2m,avgRH_1m,avgRH_2m,avgDP_C,totalPPT_mm.hr,sampleSnowDepth_m,sampleWD_Deg,sampleWS_m.s,maxWS_m.s,avgSolarRad_W.m2
2015-01-05,12:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,13:00:00,-15.03,-13.05,48.43,43.87,-23.29,7777,0.146,354.4,0.73,1.74,6999
2015-01-05,14:00:00,-12.7,-11.72,42.77,41.31,-22.39,7777,0.143,78.3,1.16,2.24,6999
2015-01-05,15:00:00,-14.15,-12.6,48.69,42.19,-22.68,7777,0.158,326.3,0,2.06,6999
2015-01-05,16:00:00,-15.36,-13.52,50.93,44.74,-23.28,7777,0.151,335.3,0,1.01,6999
2015-01-05,17:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,18:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,19:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,20:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,21:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,22:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-05,23:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,00:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,01:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,02:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,03:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,04:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,05:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,06:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,07:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,08:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,09:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,10:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,11:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,12:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,13:00:00,-20.13,-19.49,67.23,63.51,-24.6,7777,0.143,16.87,0,0.59,6999
2015-01-06,14:00:00,-20.26,-19.48,64.97,60.71,-25.26,7777,0.144,74.41,1.27,1.27,6999
2015-01-06,15:00:00,-22.73,-21.26,67.4,62.61,-27.15,7777,0.15,354.4,0.5,3.18,6999
2015-01-06,16:00:00,-23.44,-21.61,67.72,64.87,-27.66,7777,0.145,31.17,1.37,1.89,6999
2015-01-06,17:00:00,-22.96,-21.1,68.14,63.82,-27.24,7777,0.155,294.8,0.02,1.39,6999
2015-01-06,18:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,19:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,20:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,21:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,22:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-06,23:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,00:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,01:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,02:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,03:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,04:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,05:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,06:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,07:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,08:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,09:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,10:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,11:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,12:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,13:00:00,-19.21,-18.52,51.24,47.53,-26.89,7777,0.142,24.4,1.02,1.86,6999
2015-01-07,14:00:00,-19.07,-17.98,49.57,46.03,-26.99,7777,0.148,321.4,2.82,2.82,6999
2015-01-07,15:00:00,-18.69,-17.7,48.24,44.32,-26.93,7777,0.138,25.5,0.9,3.46,6999
2015-01-07,16:00:00,-18.76,-17.45,47.08,42.76,-27.21,7777,0.149,332.3,1.39,1.44,6999
2015-01-07,17:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,18:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,19:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,20:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,21:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,22:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-07,23:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,00:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,01:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,02:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,03:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,04:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,05:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,06:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,07:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,08:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,09:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,10:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,11:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,12:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,13:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,14:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,15:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,16:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,17:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,18:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,19:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,20:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,21:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,22:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-08,23:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-09,00:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-09,01:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-09,02:00:00,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999,6999
2015-01-09,03:00:00,7.46,7.82,55.35,52.03,-0.93,0,0.06,47.73,2.78,7.45,6999
2015-01-09,04:00:00,6.79,7.08,59.42,56.74,-0.35,0,0.056,53.22,9.74,10.99,6999
2015-01-09,05:00:00,6.46,6.72,62,59.63,-0.26,0,0.053,59.67,13.42,13.42,6999
2015-01-09,06:00:00,6.61,6.85,60.48,58.13,-0.5,0,0.054,55.38,9.84,13.43,6999
2015-01-09,07:00:00,6.85,7.09,57.76,55.49,-0.91,0,0.054,61.74,9.3,12.11,6999
2015-01-09,08:00:00,4.93,5.16,68.46,65.66,-1.78,0,0.06,73.11,1.32,9.84,6999
2015-01-09,09:00:00,0.36,0.58,69.09,68.41,-3.75,0,0.059,313.8,1.23,3.8,6999
2015-01-09,10:00:00,-1.21,-1.07,79.8,77.73,-4.04,7777,0.055,134.2,0.67,4.1,6999
2015-01-09,11:00:00,-1.09,-1.04,78.9,76.7,-4.25,7777,0.066,288.8,1.13,2.43,6999
2015-01-09,12:00:00,-1,-0.91,79.03,77.25,-4.19,0,0.056,307.6,0.88,2.16,6999
2015-01-09,13:00:00,-0.75,-0.64,76.98,74.88,-4.12,0,0.054,310.2,1.17,1.63,6999
2015-01-09,14:00:00,-0.35,-0.25,77,75.31,-4.03,0,0.053,274.6,0.23,1.83,6999
2015-01-09,15:00:00,-0.82,-0.71,76.28,74.36,-4.28,0,0.054,205.3,0.3,2.59,6999
2015-01-09,16:00:00,-1.3,-1.16,79.85,78.02,-4.46,7777,0.052,346,0.09,1.7,6999
2015-01-09,17:00:00,-2.85,-2.78,87.3,85.25,-4.67,7777,0.053,255.3,1.02,1.95,6999
2015-01-09,18:00:00,-2.86,-2.75,86.9,85.8,-4.69,7777,0.045,227.2,0.36,2.42,6999
2015-01-09,19:00:00,-3.04,-2.85,87.35,85.65,-4.86,7777,0.041,352.2,1.04,2.33,6999
2015-01-09,20:00:00,-1.55,-1.04,81.63,78.09,-4.05,7777,0.037,29.99,1.85,3.89,6999
2015-01-09,21:00:00,-0.15,0.41,79.3,76.59,-3.47,0,0.032,74.14,2.76,3.59,6999
2015-01-09,22:00:00,0.16,0.61,78.7,75.87,-3.13,0,0.035,49.35,2.31,3.97,6999
2015-01-09,23:00:00,-0.91,-0.27,79.37,75.3,-3.92,0,0.036,58.61,0.54,2.73,6999
